,,,,,,,,,,,,,,,,,,
,RECEPTION DES COMMANDES,,,,,,,243 Commandes en instance,,,Le taux actuel du retour est 2 %,,,,,,,
,2025-07-07 00:00:00,DMND/0507/8273,MHAMED,AP,PLAQUETTE ARR,LP1714 = 19-1102,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-08 00:00:00,DMND/0507/1663,MHAMED,AP,DISQUES AV,BG4265C = 19-1285,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0507/8940,MHAMED,AP,DISQUES ARR RLTS,BG9138RS = 19-1976,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0507/9194,MHAMED,AP,PLAQUETTE AV,LP1958 = ADA104249,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0507/1663,MHAMED,AP,DISQUES AV,BG4265C = 19-1285,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0507/8940,MHAMED,AP,DISQUES ARR RLTS,BG9138RS = 19-1976,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0507/9194,MHAMED,AP,PLAQUETTE AV,LP1958 = ADA104249,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0507/1663,MHAMED,AP,DISQUES AV,BG4265C = 19-1285,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0507/8940,MHAMED,AP,DISQUES ARR RLTS,BG9138RS = 19-1976,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0507/9194,MHAMED,AP,PLAQUETTE AV,LP1958 = ADA104249,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0507/2322,MHAMED,AP,FILTRE A POLLEN,ELR7123 = KF-6284,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0507/1650,MHAMED,AP,FILTRE A AIR,ELP9314 = AF-8028,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0507/3299,MHAMED,AP,DISQUES AV,BG4114 = 19-1866,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0507/7957,MHAMED,AP,PLAQUETTE AV,LP2003 = 191460,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0507/3299,MHAMED,AP,DISQUES AV,0.0,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0507/7957,MHAMED,AP,PLAQUETTE AV,LP2003 = 191460,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,2025-07-05 00:00:00,DMND/0507/3603,MHAMED,ACR,FILTRE A GASOIL,F 026 402 836 ,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-05 00:00:00,DMND/0507/5905,MHAMED,ACR,PLAQUETTE AV,986494662.0,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-05 00:00:00,DMND/0507/1644,MHAMED,DCA,SERRINGUE,666661.0,2.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-05 00:00:00,DMND/0507/5585,MHAMED,OTTOGO,FILTRE A AR,ELP9399,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-05 00:00:00,DMND/0507/3603,MHAMED,ACR,FILTRE A GASOIL,F 026 402 836 ,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-05 00:00:00,DMND/0507/5905,MHAMED,ACR,PLAQUETTE AV,986494662.0,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-05 00:00:00,DMND/0507/1644,MHAMED,DCA,SERRINGUE,666661.0,2.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-05 00:00:00,DMND/0507/5585,MHAMED,OTTOGO,FILTRE A AR,ELP9399,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,2025-07-05 00:00:00,DMND/0507/3603,MHAMED,ACR,FILTRE A GASOIL,F 026 402 836 ,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-05 00:00:00,DMND/0507/5905,MHAMED,ACR,PLAQUETTE AV,986494662.0,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-05 00:00:00,DMND/0507/1644,MHAMED,DCA,SERRINGUE,666661.0,2.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-05 00:00:00,DMND/0507/5585,MHAMED,OTTOGO,FILTRE A AR,ELP9399,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-05 00:00:00,DMND/0507/9810,MHAMED,SAFA / LAD,KIT PAE,KTBWP5320 = KT011 ,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,2025-07-08 00:00:00,DMND/0807/3038,ABDELLAH,OTTOGO,SONDE LAMBDA AVAL ,ES11105-12B1,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0807/4580,ABDELLAH,OTTOGO,THERMOSTAT HUILE ,DT1100H,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0807/3114,ABDELLAH,MAPCO,HUILE,CASTROL EDGE 5W30,4.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0807/2923,MHAMED,OTTOGO,577956.0,ESG AV,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0807/4041,MHAMED,MAPCO,A140117 / KS2100919 /A120014,3 FILTRES,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0807/6733,MHAMED,ACR,2504020005.0,4 BOUGIES,4.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0807/9343,MHAMED,DROP,492J4702058,ROULEMENT,1.0,DEMANDE / MARCEAU,,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0807/1784,MHAMED,OTTOGO,10W40 1L,HUILE,6.0,DEMANDE CLIENT,RECU,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0807/5912,MHAMED,ACR,FILTRE AIR,F026400095,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0807/5080,MHAMED,ACR,DEMARREUR,LRS02299,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0807/1876,MHAMED,OTTOGO,ENJOLIVEUR + PLAQUETTE,"
GUTBP9818 + ENJO 14
",1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0807/8438,MHAMED,AFP,1 TRIANGLE + 2 ROTULE,BTR5574 X2 / TC2494,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0807/3016,MHAMED,OTTOGO,TRIANGLE,OPTIMAL  -  OPTG6-1242 ,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0807/9789,MHAMED,CAL,PLAQUETTE + DISQUES,BD2794 / BP2488,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0807/9673,MHAMED,AFP,COUVRE,428.960,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0707/8600,ABDELLAH,DROP,BATTERIE ,60AH EFB CONTINENTAL,2.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0807/3923,ABDELLAH,OTTOGO,KIT DISTIBUTION +POMPE A EAU,8201PA3 / KTBWP2964,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,2025-07-09 00:00:00,DMND/0807/3352,ABDELLAH,AP,RESISTANCE CHAUFFAGE ,342084.0,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0807/5536,ABDELLAH,OTTOGO,FILTE HUILE ,ELH4436,2.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0807/4427,ABDELLAH,MAPCO,FILTRE CARBURANT,A121013 / ELG5435,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0807/7876,ABDELLAH,MAPCO,FILTRE HABITACLE,M110874 / ELR7291,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0807/8217,MHAMED,CAL,LEVE VITRE,851047.0,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0807/3493,MHAMED,CAL,PLAQUE POLICE,PLAQUE PLEXI,2.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-09 00:00:00,DMND/0907/2654,MHAMED,MAPCO,MOYEU DE ROUE,110201.0,2.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-09 00:00:00,DMND/0907/4563,MHAMED,CAL,KIT ACCESSOIRE,VKMA31025,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-09 00:00:00,DMND/0907/1737,ABDELLAH,MGA,TRIANGLE ,SB7165,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-09 00:00:00,DMND/0907/2901,MHAMED,ACR,COURROIE ALT,5PK1745,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-09 00:00:00,DMND/0907/1117,MHAMED,OTTOGO,PLAQUETTE FR,BP1415  ,2.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-09 00:00:00,DMND/0907/6343,MHAMED,OTTOGO,DISQUES AV,BD2236  ,3.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-09 00:00:00,DMND/0907/8481,MHAMED,OTTOGO,PLAQUETTE AV,BP5316  ,2.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-10 00:00:00,DMND/0907/1240,ABDELLAH,AP,HUILE DE BOITE ,ATF 6009/0140193200,5.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-09 00:00:00,DMND/0907/9789,ABDELLAH,OTTOGO,PLAQUETTE,LP314 / PF0179,1.0,RETOUR AU STOCK,,,False,,False,,False,,False,
,2025-07-09 00:00:00,DMND/0907/1019,MHAMED,MAPCO,ROTULE AXIALE,240598.0,2.0,DEMANDE / ,,,False,,False,,False,,False,
,2025-07-09 00:00:00,DMND/0907/3303,MHAMED,MAPCO,FILTRE A  GO,A120947,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-09 00:00:00,DMND/0907/6325,MHAMED,MAPCO,FILTRE A AIR,M110866,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-09 00:00:00,DMND/0907/2975,MHAMED,OTTOGO,ALTERNATEUR ,TR8199,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-09 00:00:00,DMND/0907/8540,ABDELLAH,ACR,BOUGIE ,242235668.0,4.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-09 00:00:00,DMND/0907/7901,ABDELLAH,MAPCO,EMETTEUR ,51185.0,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-09 00:00:00,DMND/0907/8043,ABDELLAH,MAPCO,RECEPTEUR ,51026.0,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-09 00:00:00,DMND/0907/7130,MHAMED,CAL,BOUGIES X4,FR5KPP332S,1.0,DEMANDE / LAVAGE EXPRESS,,,False,,False,,False,,False,
,2025-07-09 00:00:00,DMND/0907/9795,MHAMED,ACR,CONTACTEUR,12701F,1.0,DEMANDE / ,,,False,,False,,False,,False,
,2025-07-09 00:00:00,DMND/0907/5810,MHAMED,ACR,CONTACTEUR,12701F,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-09 00:00:00,DMND/0907/2208,ABDELLAH,ACR,BOUGIE ,5649.0,3.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-11 00:00:00,DMND/0907/3755,ABDELLAH,AP,CARTER HUILE BV ,34-0126,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-09 00:00:00,DMND/0907/9105,ABDELLAH,ACR,PLAQUETTE AV ,35065.0,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-09 00:00:00,DMND/0907/1921,MHAMED,CAL,RIVET,073V,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-09 00:00:00,DMND/0907/5742,MHAMED,AFP,VANNE EGR,EG1050712B1,1.0,DEMANDE / FLIX AUTO,,,False,,False,,False,,False,
,2025-07-10 00:00:00,DMND/1007/5560,ABDELLAH,CAL,BOBINE,155022.0,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-10 00:00:00,DMND/1007/8378,ABDELLAH,ACR,PMH,261210151.0,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-10 00:00:00,DMND/1007/9210,MHAMED,OTTOGO,PLAQUETTE,BP6919 ,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-10 00:00:00,DMND/0907/7007,MHAMED,OTTOGO,NETTOYANTS FR,4455.0,2.0,RETOUR AU STOCK,,,False,,False,,False,,False,
,2025-07-10 00:00:00,DMND/0907/7045,MHAMED,OTTOGO,LIQUIDE JAUNE,TYPE D,1.0,RETOUR AU STOCK,,,False,,False,,False,,False,
,2025-07-10 00:00:00,DMND/1007/4644,MHAMED,OTTOGO,C22,BATTERIE 60,1.0,RETOUR AU STOCK,,,False,,False,,False,,False,
,2025-07-10 00:00:00,DMND/1007/7582,MHAMED,OTTOGO,FILTRE A GO,M518 = ELG5318,1.0,RETOUR AU STOCK,,,False,,False,,False,,False,
,2025-07-10 00:00:00,DMND/1007/6095,MHAMED,OTTOGO,FILTRE AIR,ELP3919,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,2025-07-10 00:00:00,DMND/0907/7045,MHAMED,OTTOGO,LIQUIDE JAUNE,TYPE D,1.0,RETOUR AU STOCK,,,False,,False,,False,,False,
,2025-07-10 00:00:00,DMND/1007/4644,MHAMED,OTTOGO,C22,BATTERIE 60,1.0,RETOUR AU STOCK,,,False,,False,,False,,False,
,2025-07-10 00:00:00,DMND/1007/7582,MHAMED,OTTOGO,FILTRE A GO,M518 = ELG5318,1.0,RETOUR AU STOCK,,,False,,False,,False,,False,
,2025-07-10 00:00:00,DMND/1007/6095,MHAMED,OTTOGO,FILTRE AIR,ELP3919,1.0,RETOUR AU STOCK,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,2025-07-10 00:00:00,DMND/1007/7200,MHAMED,OTTOGO,DISQUES RLTS,BD3291R  ,2.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,2025-07-10 00:00:00,DMND/1007/7200,MHAMED,OTTOGO,DISQUES RLTS,BD3291R  ,2.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,2025-07-10 00:00:00,DMND/1007/3826,MHAMED,MAPCO,BIELLETTE STABLE,260718 = TC2270,2.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-10 00:00:00,DMND/1007/1652,MHAMED,OTTOGO,PLAQUETTE ARR,302223 = LP3140,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-10 00:00:00,DMND/1007/9200,MHAMED,OTTOGO,PLAQUETTE AV,lp3346,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-10 00:00:00,DMND/1007/3826,MHAMED,MAPCO,BIELLETTE STABLE,260718 = TC2270,2.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-10 00:00:00,DMND/1007/1652,MHAMED,OTTOGO,PLAQUETTE ARR,302223 = LP3140,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-10 00:00:00,DMND/1007/9200,MHAMED,OTTOGO,PLAQUETTE AV,lp3346,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,2025-07-10 00:00:00,DMND/1007/2088,ABDELLAH,OTTOGO,PLAQUETTE AV ,301315.0,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-10 00:00:00,DMND/1007/8912,ABDELLAH,OTTOGO,PLAQUETTE AR ,LP915,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-10 00:00:00,DMND/1007/3411,ABDELLAH,OTTOGO,JEU DE DISQUE AV ,BG4231C,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-10 00:00:00,DMND/1007/4554,ABDELLAH,OTTOGO,PLAQUETTE AV,PF0127,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-10 00:00:00,DMND/1007/9744,ABDELLAH,MAPCO,ROULEMENT,200106.0,2.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-10 00:00:00,DMND/1007/2023,ABDELLAH,ACR,CAPTEUR FEUX DE FREIN,24899F,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-10 00:00:00,DMND/1007/2014,MHAMED,ACR,DEMARREUR 3107,SBO1217,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-11 00:00:00,DMND/1007/5149,ABDELLAH,DCA,DURITE RADIATEUR,3406304.0,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-10 00:00:00,DMND/1007/5209,ABDELLAH,ACR,CAPTEUR  ADMISSION,281006076.0,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-10 00:00:00,DMND/1007/7223,ABDELLAH,ACR,EMETTEUR EMBRAYAGE ,PND321,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-10 00:00:00,DMND/1007/5320,ABDELLAH,ACR,BOUGIE,242145555.0,4.0,DEMANDE CLIENT,,,False,,False,,False,,False,
,2025-07-10 00:00:00,DMND/1007/6096,ABDELLAH,OTTOGO,TRIANGLE ,TC3878,1.0,DEMANDE CLIENT,,,False,,False,,False,,False,
